Property,Rollable Gear Piece(s),Function
Melee Damage (5-12%),"Sword, Melee Charm, Samurai Charm, Kunai.",Increases damage from Melee attacks.
Melee Resolve Gain (5-10%),"Sword, Melee Charm, Samurai Charm.",Increases Resolve gained from Melee attacks and kills.
Perfect Parry Window (5-12%),"Sword, Melee Charm, Samurai Charm, Dirt Throw.",Increases length of time that an incoming attack can be parried.
Melee Stagger Damage (5-12%),"Sword, Bomb Pack, Melee Charm, Samurai Charm, Caltrops.",Increases base Stagger damage against enemies.
Counter Damage (10-20%),"Sword, Melee Charm, Samurai Charm.",Increased damage on Perfect Parry and Perfect Dodge counter attacks.
Ultimate Damage (10-20%),"Sword, Ranged Charm, Defense Charm, Melee Charm, Stealth Charm, Samurai Charm, Hunter Charm, Ronin Charm, Assassin Charm.",Increases base damage of the ultimate ability.
Ability Cooldown Reduction (5-12%),"Sword, Ranged Charm, Defense Charm, Utility Charm, Melee Charm, Stealth Charm, Samurai Charm, Hunter Charm, Ronin Charm, Assassin Charm.",Reduces base cooldown of your class ability.
Oni Damage (5-10%),"Sword, Ranged Charm, Defense Charm, Utility Charm, Melee Charm, Stealth Charm, Samurai Charm, Hunter Charm, Ronin Charm, Assassin Charm.",Increased damage against oni targets.
Staggered Damage (10-20%),"Sword, Ranged Charm, Defense Charm, Utility Charm, Melee Charm, Stealth Charm, Samurai Charm, Hunter Charm, Ronin Charm, Assassin Charm.",Increased damage against Staggered targets.
Ranged Damage (5-12%),"Half-Bow, Longbow, Ranged Charm, Hunter Charm.",Increases damage from Ranged weapons.
Ranged Resolve Gain (5-10%),"Half-Bow, Longbow, Ranged Charm, Hunter Charm.",Increases Resolve gained from Ranged attacks and kills.
Headshot Damage (5-10%),"Half-Bow, Longbow, Ranged Charm, Hunter Charm.",Increases damage of headshots with the bow.
Draw Speed (10-20%),"Half-Bow, Longbow, Ranged Charm, Hunter Charm.",Increases speed of drawing the bow.
Reload Speed (10-20%),"Half-Bow, Longbow, Ranged Charm, Hunter Charm.",Increases speed of nocking an arrow after firing.
Ranged Projectile Velocity (15-25%),"Half-Bow, Longbow.",Increases speed of projectiles.
Status Effect Duration (10-15%),"Blowgun, Stealth Charm, Assassin Charm, Kunai, Dirt Throw, Sticky Bomb, Caltrops.",Increases duration of all status effects and stuns from abilities.
Status Effect Damage (10-18%),"Blowgun, Bomb Pack, Stealth Charm, Assassin Charm.",Increases damage of Fire and Poison effects.
Stealth Attack Damage (10-25%),"Blowgun, Stealth Charm, Assassin Charm, Smoke Bomb.",Increases damage of stealth attacks.
Stealth (10-20),"Blowgun, Stealth Charm, Assassin Charm, Smoke Bomb.",While in stealth enemies take longer to detect you.
Blast Radius (15-25%),"Bomb Pack, Sticky Bomb.",Increases the size of the blast radius for bombs.
Resolve Gain (5-10%),"Ranged Charm, Defense Charm, Utility Charm, Melee Charm, Stealth Charm, Samurai Charm, Hunter Charm, Ronin Charm, Assassin Charm.",Increases rate of Resolve meter gained from all sources.
Fire Damage (5-12%),"Ranged Charm, Defense Charm, Utility Charm, Melee Charm, Stealth Charm, Samurai Charm, Hunter Charm, Ronin Charm, Assassin Charm.",Increases damage done from all sources of fire.
Damage Reduction (5-10%),"Defense Charm, Ronin Charm, Healing Gourd.",Reduces damage received from all sources.
Injured Resolve Gain (10-25%),"Defense Charm, Ronin Charm, Healing Gourd.",Taking damage grants Resolve.
Revive Health (13-25),"Defense Charm, Ronin Charm.",Increases starting health after being revived.
Ghost Offering Health (10-25),"Defenss Charm, Ronin Charm, Healing Gourd.",Increases health restored when interacting with a Ghost Offering.
Cooldown Reduction (5-10%),"Stealth Charm, Assassin Charm.",Reduces base cooldown of all Ghost Weapons.
Damage Increase (12-20%),"Stealth Charm, Assassin Charm",Increases damage of all Ghost Weapons.
Cooldown Reduction On Kill (1-2s),"Stealth Charm, Assassin Charm.",Any kill reduces the cooldown of all Ghost Weapons.
Cooldown Reduction (8-15%),"Kunai, Dirt Throw, Sticky Bomb, Smoke Bomb, Healing Gourd, Caltrops.",Reduces the base cooldown of this weapon.
Cooldown Reduction On Kill (1-4s),"Kunai, Dirt Throw, Sticky Bomb, Smoke Bomb, Healing Gourd, Caltrops.",Any kill reduces the cooldown of this weapon.
Spirit Pull Targets (+1),Samurai Charm (Exclusive).,Increases number of targets that Spirit Pull affects.
Explosive Blade Radius (50-100%),Samurai Charm (Exclusive).,Increases radius of Explosive Blade.
Hunter Ability Radius (50-100%),Hunter Charm (Exclusive).,Increases radius of Staggering Arrow and Explosive Arrow.
Weakening Burst Radius (50-100%),Ronin Charm (Exclusive).,Increased radius of Weakening Burst.
Healing Incense Radius (50-100%),Ronin Charm (Exclusive).,Increased radius of Healing Incense.
Healing Incense Duration (20-40%),Ronin Charm (Exclusive).,Increased duration of Healing Incense.
Healing Spirt Radius (50-100%),Ronin Charm (Exclusive).,Increased radius of Healing Spirit.
Toxic Vanish Radius (50-100%),Assassin Charm (Exclusive).,Increases radius of Toxic Vanish.
Vanish Duration (25-50%),Assassin Charm (Exclusive).,Increases duration of Vanish.
Assassinate from above damage (10-20%),Assassin Charm (Exclusive).,Increases damage when Assassinating enemies from above.
,,
,,
Perk,Rollable Gear Piece(s),Function
"*Note: Under Construction, check back later*",,
